location_ID,Location,city_id
1,Sunny Meadow Farm - 3418 County Road 75,205
2,Willow Creek Farm - 4261 County Road 175,154
3,Riverside Farm - 4555 County Road 100,166
4,Pine Creek Farm - 6854 County Road 474,74
5,Stonebridge Farm - 4945 County Road 466,137
6,Rolling Hills Farm - 3300 County Road 108,116
7,Sunset Farm - 9248 County Road 177,153
8,Sunset Farm - 3148 County Road 391,100
9,Horizon Farm - 8958 County Road 6,15
10,Spring Valley Farm - 1351 County Road 203,69
11,Valley View Farm - 9860 County Road 455,4
12,Blue Sky Farm - 4338 County Road 153,114
13,Hilltop Farm - 6402 County Road 247,73
14,Horizon Farm - 2001 County Road 21,64
15,Stonebridge Farm - 3194 County Road 444,208
16,Prairie View Farm - 3530 County Road 290,61
17,Mountain View Farm - 3590 County Road 222,122
18,Blue Sky Farm - 7359 County Road 33,159
19,Countryside Farm - 9144 County Road 445,219
20,Hilltop Farm - 4382 County Road 383,9
21,Red Barn Farm - 3533 County Road 375,206
22,Golden Fields Farm - 6973 County Road 418,24
23,Hilltop Farm - 8820 County Road 326,60
24,Mountain View Farm - 5998 County Road 404,58
25,Golden Fields Farm - 1331 County Road 364,138
26,Windmill Farm - 1623 County Road 123,222
27,Meadowbrook Farm - 5204 County Road 178,19
28,Hilltop Farm - 6358 County Road 144,148
29,Sunny Meadow Farm - 7766 County Road 102,57
30,Red Barn Farm - 7691 County Road 321,152
31,Riverside Farm - 9522 County Road 83,6
32,Harvest Moon Farm - 5568 County Road 355,190
33,Mountain View Farm - 1365 County Road 482,71
34,Blue Sky Farm - 7267 County Road 99,191
35,Countryside Farm - 6905 County Road 108,81
36,Highland Farm - 1654 County Road 103,34
37,Highland Farm - 7898 County Road 89,78
38,Green Valley Farm - 6370 County Road 303,12
39,Highland Farm - 4532 County Road 224,88
40,Harvest Moon Farm - 3825 County Road 344,67
41,Pleasant Hill Farm - 9954 County Road 153,84
42,Hilltop Farm - 2475 County Road 167,51
43,Cedar Valley Farm - 3605 County Road 77,131
44,Spring Valley Farm - 6596 County Road 340,9
45,Cedar Valley Farm - 2307 County Road 415,158
46,Sunny Meadow Farm - 9187 County Road 52,146
47,Oak Ridge Farm - 5673 County Road 246,16
48,Oak Ridge Farm - 6613 County Road 51,63
49,Riverdale Farm - 9046 County Road 102,209
50,Heritage Farm - 3283 County Road 404,118
51,Silver Lake Farm - 1497 County Road 204,130
52,Riverside Farm - 8702 County Road 207,244
53,Prairie View Farm - 1485 County Road 409,134
54,Willow Creek Farm - 1590 County Road 475,160
55,Blue Sky Farm - 6270 County Road 405,177
56,Green Valley Farm - 8283 County Road 435,228
57,Pleasant Hill Farm - 5510 County Road 470,97
58,Riverdale Farm - 5408 County Road 482,155
59,Pleasant Hill Farm - 8974 County Road 439,156
