retailer_id,name,location,contact
1,Fresh Market,Fulfillment Center I - 4930 Washington Road,(148) 261-6435
2,Green Grocers,445 Third Place,(101) 359-2767
3,Organic Foods Store,Stonebridge Farm - 4346 County Road 306,(854) 446-3075
4,Farm to Table Market,Red Barn Farm - 2603 County Road 48,(538) 735-7562
5,Nature's Basket,6073 Second Drive Apt 93,(493) 362-4474
6,Healthy Harvest,Sunny Meadow Farm - 4482 County Road 47,(164) 228-6849
7,Pure Foods Market,2515 Fourth Drive,(599) 325-4042
8,Local Farmers Market,2585 Lake Boulevard Apt 128,(842) 461-2057
9,Eco Market,782 Park Boulevard Apt 78,(450) 220-8722
10,Country Fresh Store,2292 Lake Circle,(735) 775-1919
11,Harvest Market,Regional Warehouse V - 5958 River Street,(559) 648-4752
12,Green Valley Grocery,Logistics Hub S - 8449 Park Drive,(793) 850-1326
13,Sustainable Foods Co,Riverside Farm - 1713 County Road 329,(538) 773-6731
14,Farm Fresh Market,Storage Facility C - 1546 Lake Circle,(571) 781-5211
15,Natural Choice Store,Windmill Farm - 1349 County Road 170,(536) 135-2900
16,Fresh Market Store 2,6348 Hill Place Apt 419,(665) 929-5215
17,Green Grocers Store 2,6101 Third Place Apt 276,(394) 337-9434
18,Organic Foods Store Store 2,Oak Ridge Farm - 5566 County Road 61,(203) 242-3071
19,Farm to Table Market Store 2,6908 Church Circle,(119) 473-6093
20,Nature's Basket Store 2,Silver Lake Farm - 3803 County Road 165,(875) 591-9921
21,Healthy Harvest Store 2,9100 Second Circle,(169) 412-7561
22,Pure Foods Market Store 2,Logistics Hub M - 3780 Church Place,(264) 386-7516
23,Local Farmers Market Store 2,2378 Park Lane Apt 160,(410) 810-4468
24,Eco Market Store 2,Heritage Farm - 5145 County Road 105,(380) 456-9662
25,Country Fresh Store Store 2,Riverside Farm - 7437 County Road 132,(104) 274-2091
26,Harvest Market Store 2,Processing Center H - 3261 Oak Place,(674) 348-2587
27,Green Valley Grocery Store 2,5937 Oak Court,(708) 135-7386
28,Sustainable Foods Co Store 2,813 Park Boulevard,(243) 490-4891
29,Farm Fresh Market Store 2,Harvest Moon Farm - 8030 County Road 108,(907) 152-5509
30,Natural Choice Store Store 2,2161 Oak Lane Apt 415,(741) 531-2824
31,Fresh Market Store 3,9931 Hill Place,(877) 228-3998
32,Green Grocers Store 3,Fulfillment Center B - 8174 Cedar Lane,(724) 411-8527
33,Organic Foods Store Store 3,Supply Chain Hub V - 963 Market Way,(194) 812-3268
34,Farm to Table Market Store 3,Rolling Hills Farm - 1820 County Road 244,(190) 805-4975
35,Nature's Basket Store 3,Distribution Center Y - 2065 Lake Avenue,(729) 189-6146
36,Healthy Harvest Store 3,Central Depot L - 3379 Cedar Road,(927) 308-9744
37,Pure Foods Market Store 3,Meadowbrook Farm - 8307 County Road 287,(186) 407-2239
38,Local Farmers Market Store 3,950 Pine Way,(218) 474-8897
39,Eco Market Store 3,Supply Chain Hub V - 8129 Oak Court,(798) 365-4998
40,Country Fresh Store Store 3,Logistics Hub T - 5465 Pine Road,(348) 671-6167
41,Harvest Market Store 3,Central Depot I - 5106 Oak Way,(572) 309-1242
42,Green Valley Grocery Store 3,2751 Pine Avenue,(720) 517-1486
43,Sustainable Foods Co Store 3,Golden Fields Farm - 6578 County Road 489,(140) 247-1344
44,Farm Fresh Market Store 3,6945 Valley Court,(520) 883-8154
45,Natural Choice Store Store 3,Supply Chain Hub F - 2593 Maple Road,(745) 758-6525
46,Fresh Market Store 4,629 Lake Avenue,(449) 250-4112
47,Green Grocers Store 4,9670 Pine Lane,(251) 474-2615
48,Organic Foods Store Store 4,Logistics Hub D - 5796 Third Street,(507) 100-3436
49,Farm to Table Market Store 4,Central Depot N - 7920 School Road,(582) 649-6172
50,Nature's Basket Store 4,Distribution Center H - 4718 Market Circle,(544) 868-9620
51,Healthy Harvest Store 4,Storage Facility A - 2518 Market Avenue,(341) 340-5964
52,Pure Foods Market Store 4,Sunny Meadow Farm - 9474 County Road 74,(315) 193-3489
53,Local Farmers Market Store 4,7110 Cedar Place,(450) 315-7519
54,Eco Market Store 4,8393 High Avenue,(933) 733-1671
55,Country Fresh Store Store 4,Spring Valley Farm - 3262 County Road 301,(665) 576-1237
56,Harvest Market Store 4,Central Depot R - 7951 Maple Drive,(776) 644-6624
57,Green Valley Grocery Store 4,2282 Fourth Way,(132) 377-9017
58,Sustainable Foods Co Store 4,Silver Lake Farm - 5878 County Road 418,(563) 501-2153
59,Farm Fresh Market Store 4,Red Barn Farm - 6261 County Road 323,(751) 289-1612
60,Natural Choice Store Store 4,Valley View Farm - 6275 County Road 414,(933) 309-4398
61,Fresh Market Store 5,Spring Valley Farm - 9429 County Road 279,(645) 813-3898
62,Green Grocers Store 5,Regional Warehouse C - 1065 Church Place,(348) 888-2628
63,Organic Foods Store Store 5,Willow Creek Farm - 1018 County Road 463,(328) 785-4574
64,Farm to Table Market Store 5,458 Main Way,(878) 823-8401
65,Nature's Basket Store 5,Fulfillment Center V - 4733 Park Circle,(982) 192-2113
66,Healthy Harvest Store 5,Meadowbrook Farm - 5739 County Road 35,(548) 475-2507
67,Pure Foods Market Store 5,Riverdale Farm - 7212 County Road 387,(972) 524-3957
68,Local Farmers Market Store 5,Willow Creek Farm - 5852 County Road 11,(561) 447-3963
69,Eco Market Store 5,Storage Facility P - 4881 Main Court,(697) 209-1751
70,Country Fresh Store Store 5,5395 Washington Avenue Apt 227,(809) 323-9575
71,Harvest Market Store 5,Windmill Farm - 7168 County Road 350,(683) 593-6199
72,Green Valley Grocery Store 5,106 Fourth Circle,(123) 881-6808
73,Sustainable Foods Co Store 5,Logistics Hub V - 6446 Second Boulevard,(913) 188-5887
74,Farm Fresh Market Store 5,1344 Pine Street,(400) 495-5085
75,Natural Choice Store Store 5,1811 Market Circle,(311) 758-3815
76,Fresh Market Store 6,Distribution Center B - 2403 Market Street,(186) 456-6193
77,Green Grocers Store 6,5747 High Place,(668) 622-2612
78,Organic Foods Store Store 6,385 Fourth Drive,(442) 360-4584
79,Farm to Table Market Store 6,Maple Grove Farm - 7396 County Road 53,(709) 737-3069
80,Nature's Basket Store 6,4991 River Way Apt 12,(127) 950-9604
81,Healthy Harvest Store 6,Logistics Hub O - 2465 Church Avenue,(777) 773-7388
82,Pure Foods Market Store 6,Supply Chain Hub P - 6342 Church Court,(854) 835-5219
83,Local Farmers Market Store 6,Distribution Center W - 169 Third Way,(373) 826-6589
84,Eco Market Store 6,4451 Valley Circle,(760) 594-6888
85,Country Fresh Store Store 6,Storage Facility I - 6409 Main Circle,(391) 438-6123
86,Harvest Market Store 6,Storage Facility R - 4421 Valley Road,(746) 457-4565
87,Green Valley Grocery Store 6,Logistics Hub C - 2485 Church Place,(347) 299-8353
88,Sustainable Foods Co Store 6,Logistics Hub B - 2322 Cedar Drive,(649) 181-9877
89,Farm Fresh Market Store 6,Rolling Hills Farm - 2664 County Road 393,(560) 378-8764
90,Natural Choice Store Store 6,7546 School Way,(292) 348-4330
91,Fresh Market Store 7,9167 Oak Way,(921) 414-7615
92,Green Grocers Store 7,Fulfillment Center M - 7943 Second Court,(238) 994-5016
93,Organic Foods Store Store 7,5512 Third Way Apt 476,(924) 390-7457
94,Farm to Table Market Store 7,Spring Valley Farm - 8634 County Road 92,(792) 256-5500
95,Nature's Basket Store 7,Silver Lake Farm - 2346 County Road 223,(795) 900-6080
96,Healthy Harvest Store 7,Valley View Farm - 3963 County Road 303,(703) 289-5354
97,Pure Foods Market Store 7,Central Depot B - 8337 Pine Avenue,(250) 242-4066
98,Local Farmers Market Store 7,4079 Maple Street,(503) 103-5580
99,Eco Market Store 7,8979 Elm Court Apt 196,(275) 376-2309
100,Country Fresh Store Store 7,Sunset Farm - 3765 County Road 7,(952) 267-5905
101,Harvest Market Store 7,Pine Creek Farm - 9943 County Road 131,(845) 759-6705
102,Green Valley Grocery Store 7,Fulfillment Center T - 6709 Second Court,(625) 235-3468
103,Sustainable Foods Co Store 7,Fulfillment Center M - 6132 Park Drive,(698) 496-9942
104,Farm Fresh Market Store 7,714 High Boulevard,(762) 171-9850
105,Natural Choice Store Store 7,5194 Main Place,(153) 690-5599
106,Fresh Market Store 8,4765 Lake Avenue Apt 442,(137) 449-8801
107,Green Grocers Store 8,Processing Center Q - 1855 Park Avenue,(202) 793-6616
108,Organic Foods Store Store 8,Windmill Farm - 5225 County Road 358,(911) 390-6979
109,Farm to Table Market Store 8,Fulfillment Center R - 7475 Hill Boulevard,(353) 161-4807
110,Nature's Basket Store 8,7219 Pine Way Apt 303,(515) 631-6298
111,Healthy Harvest Store 8,Logistics Hub B - 8714 Washington Avenue,(390) 961-4614
112,Pure Foods Market Store 8,Logistics Hub E - 1625 Washington Way,(978) 717-7165
113,Local Farmers Market Store 8,8291 Valley Road,(549) 645-2939
