supplier_id,name,contact,location
1,AgriSupply Co,(879) 334-6884,Fulfillment Center I - 4930 Washington Road
2,FreshHarvest Distributors,(346) 523-9138,445 Third Place
3,Green Valley Suppliers,(578) 605-9487,Stonebridge Farm - 4346 County Road 306
4,Farm Direct Supply,(127) 263-6790,Red Barn Farm - 2603 County Road 48
5,Quality Produce Inc,(837) 540-3722,6073 Second Drive Apt 93
6,Organic Farm Supply,(456) 486-6646,Sunny Meadow Farm - 4482 County Road 47
7,Regional Food Distributors,(244) 556-8761,2515 Fourth Drive
8,Premium Harvest Co,(239) 845-6428,2585 Lake Boulevard Apt 128
9,Nature's Best Supply,(982) 633-8478,782 Park Boulevard Apt 78
10,Farmland Distributors,(187) 471-9643,2292 Lake Circle
11,Sustainable Agriculture Co,(741) 554-5442,Regional Warehouse V - 5958 River Street
12,Golden Grain Suppliers,(386) 579-2669,Logistics Hub S - 8449 Park Drive
13,Fresh Fields Supply,(590) 195-5898,Riverside Farm - 1713 County Road 329
14,EcoFarm Distributors,(930) 427-1932,Storage Facility C - 1546 Lake Circle
15,Pure Harvest Inc,(903) 174-2047,Windmill Farm - 1349 County Road 170
16,Countryside Supply Co,(408) 421-9347,6348 Hill Place Apt 419
17,Harvest Moon Distributors,(476) 708-9068,6101 Third Place Apt 276
18,Green Earth Suppliers,(145) 568-6474,Oak Ridge Farm - 5566 County Road 61
19,Farm Fresh Co,(312) 765-5996,6908 Church Circle
20,Natural Foods Supply,(801) 271-3098,Silver Lake Farm - 3803 County Road 165
21,AgriSupply Co Branch 2,(179) 547-7879,9100 Second Circle
22,FreshHarvest Distributors Branch 2,(646) 592-7200,Logistics Hub M - 3780 Church Place
23,Green Valley Suppliers Branch 2,(134) 352-4447,2378 Park Lane Apt 160
24,Farm Direct Supply Branch 2,(104) 705-2682,Heritage Farm - 5145 County Road 105
25,Quality Produce Inc Branch 2,(900) 297-7964,Riverside Farm - 7437 County Road 132
26,Organic Farm Supply Branch 2,(187) 412-5552,Processing Center H - 3261 Oak Place
27,Regional Food Distributors Branch 2,(678) 162-3960,5937 Oak Court
