warehouse_id,name,location,capacity
1,Fulfillment Center G - 4975 Second Way,Fulfillment Center G - 4975 Second Way,37056.96
2,Supply Chain Hub V - 8317 Church Street,Supply Chain Hub V - 8317 Church Street,20607.48
3,Processing Center S - 1604 Market Street,Processing Center S - 1604 Market Street,4890.06
4,Logistics Hub Y - 6702 Fourth Drive,Logistics Hub Y - 6702 Fourth Drive,32815.85
5,Processing Center F - 1243 Park Street,Processing Center F - 1243 Park Street,23360.52
6,Supply Chain Hub L - 8791 Church Road,Supply Chain Hub L - 8791 Church Road,18680.67
7,Fulfillment Center F - 2302 Park Lane,Fulfillment Center F - 2302 Park Lane,28292.49
8,Fulfillment Center P - 4914 River Way,Fulfillment Center P - 4914 River Way,13396.14
9,Supply Chain Hub S - 1657 Park Street,Supply Chain Hub S - 1657 Park Street,9667.17
10,Storage Facility N - 3888 Hill Court,Storage Facility N - 3888 Hill Court,3379.25
11,Fulfillment Center O - 7304 Third Circle,Fulfillment Center O - 7304 Third Circle,39255.36
12,Processing Center O - 326 Valley Circle,Processing Center O - 326 Valley Circle,43618.85
13,Supply Chain Hub R - 6285 Third Court,Supply Chain Hub R - 6285 Third Court,10495.94
14,Logistics Hub M - 4645 Oak Circle,Logistics Hub M - 4645 Oak Circle,27731.52
15,Storage Facility Z - 672 Second Road,Storage Facility Z - 672 Second Road,11915.52
16,Logistics Hub U - 7458 Pine Court,Logistics Hub U - 7458 Pine Court,1728.96
17,Central Depot L - 4892 Cedar Street,Central Depot L - 4892 Cedar Street,23873.29
18,Distribution Center O - 5383 Cedar Circle,Distribution Center O - 5383 Cedar Circle,38244.69
19,Central Depot W - 5706 Market Street,Central Depot W - 5706 Market Street,18947.41
20,Processing Center Y - 2954 Park Lane,Processing Center Y - 2954 Park Lane,40358.5
21,Fulfillment Center M - 781 Second Road,Fulfillment Center M - 781 Second Road,32710.9
22,Distribution Center D - 7398 Valley Place,Distribution Center D - 7398 Valley Place,23061.64
23,Processing Center J - 3815 High Place,Processing Center J - 3815 High Place,28663.55
24,Processing Center T - 3677 Hill Place,Processing Center T - 3677 Hill Place,41348.35
25,Distribution Center Z - 3953 Valley Street,Distribution Center Z - 3953 Valley Street,5456.56
26,Fulfillment Center M - 7943 Second Court,Fulfillment Center M - 7943 Second Court,26064.35
27,Fulfillment Center K - 3473 Maple Drive,Fulfillment Center K - 3473 Maple Drive,22115.73
28,Supply Chain Hub A - 1087 Cedar Place,Supply Chain Hub A - 1087 Cedar Place,22083.2
29,Supply Chain Hub J - 993 First Street,Supply Chain Hub J - 993 First Street,34567.94
30,Logistics Hub U - 6559 Main Boulevard,Logistics Hub U - 6559 Main Boulevard,29360.99
31,Distribution Center K - 6648 Pine Lane,Distribution Center K - 6648 Pine Lane,26127.42
32,Fulfillment Center C - 3768 Church Boulevard,Fulfillment Center C - 3768 Church Boulevard,31347.69
33,Fulfillment Center W - 2875 Oak Court,Fulfillment Center W - 2875 Oak Court,7988.32
34,Fulfillment Center C - 852 Main Boulevard,Fulfillment Center C - 852 Main Boulevard,34264.94
35,Regional Warehouse S - 8183 Valley Lane,Regional Warehouse S - 8183 Valley Lane,25081.95
36,Distribution Center C - 8795 Second Street,Distribution Center C - 8795 Second Street,11709.22
37,Regional Warehouse K - 1169 Cedar Street,Regional Warehouse K - 1169 Cedar Street,46583.59
38,Distribution Center M - 8507 Elm Avenue,Distribution Center M - 8507 Elm Avenue,4925.33
39,Regional Warehouse R - 6434 Pine Way,Regional Warehouse R - 6434 Pine Way,23919.08
40,Regional Warehouse Y - 3387 Market Circle,Regional Warehouse Y - 3387 Market Circle,31867.34
41,Distribution Center P - 7346 Washington Avenue,Distribution Center P - 7346 Washington Avenue,35238.19
42,Fulfillment Center R - 5556 Main Court,Fulfillment Center R - 5556 Main Court,14004.67
43,Storage Facility K - 7920 Lake Court,Storage Facility K - 7920 Lake Court,39696.89
44,Distribution Center W - 5264 Main Road,Distribution Center W - 5264 Main Road,35084.67
45,Central Depot G - 1765 Fourth Avenue,Central Depot G - 1765 Fourth Avenue,29293.77
46,Supply Chain Hub E - 491 Valley Way,Supply Chain Hub E - 491 Valley Way,45973.51
47,Processing Center O - 800 Washington Road,Processing Center O - 800 Washington Road,34527.13
48,Distribution Center F - 7507 Market Court,Distribution Center F - 7507 Market Court,24339.28
49,Supply Chain Hub M - 8470 Fourth Boulevard,Supply Chain Hub M - 8470 Fourth Boulevard,26923
50,Storage Facility N - 6026 High Court,Storage Facility N - 6026 High Court,26485.21
51,Regional Warehouse L - 640 School Street,Regional Warehouse L - 640 School Street,19913.37
52,Processing Center G - 8573 Main Lane,Processing Center G - 8573 Main Lane,38782.34
53,Logistics Hub R - 1526 High Boulevard,Logistics Hub R - 1526 High Boulevard,49318.12
54,Distribution Center Y - 7005 First Boulevard,Distribution Center Y - 7005 First Boulevard,22211.47
55,Distribution Center E - 5848 Pine Court,Distribution Center E - 5848 Pine Court,47555.77
